date,product,category,price
2022-03-15,Death Bubba Hash by Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Master Kush Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-03-15,Gorilla Glue Hash By Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Tuna Rockstar HASH by TF,premium-domestic-hash,$16.00/g
2022-03-15,Chernobyl Cookies by Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Malani Style Elephant Hash,premium-domestic-hash,$13.00/g
2022-03-15,Gods Green Crack by Tegridy Farms,premium-domestic-hash,$17.00/g
2022-03-15,Dragon Full Melt Hash,premium-domestic-hash,$18.00/g
2022-03-15,Tegridy Farms - Hindu Kush,premium-domestic-hash,$14.00/g
2022-03-15,Blue Dream by Tegridy Farms,premium-domestic-hash,$16.50/g
2022-03-15,Lebanese Style Rooster Hash,premium-domestic-hash,$12.00/g
2022-03-15,MK Ultra Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-03-15,Phoenix Stamp Banana Kush Hash,premium-domestic-hash,$15.50/g
2022-03-15,Pink Goo Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-03-15,Kush Mint Full Melt Hash,premium-domestic-hash,$18.00/g
2022-03-15,Sophies Breath Sativa Hash by Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Healing Tree Hash,premium-domestic-hash,$12.00/g
2022-03-15,Mayan Gold,premium-domestic-hash,$14.00/g
2022-03-15,Gelato x Do-si-Dos Full Melt Hash,premium-domestic-hash,$18.00/g
2022-03-15,Holy Bible Stamp Lindsay OG Hash,premium-domestic-hash,$17.00/g
2022-03-15,Dove Stamp MK Ultra,premium-domestic-hash,$17.00/g
2022-03-15,Sugar Cookies by Tegridy Farms,premium-domestic-hash,$17.00/g
2022-03-15,20g Island Bushido Chunk by Hash Assassins,premium-domestic-hash,$230.00 
2022-03-15,Citrus Cookies,buy-sativa-online,$4.00/g
2022-03-15,Triangle Mints,buy-sativa-online,$5.00/g
2022-03-15,Orange Aid 7g by Tegridy Farms,buy-sativa-online,$78.50 
2022-04-14,Master Kush Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Tuna Rockstar HASH by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Tegridy Farms - Hindu Kush,premium-domestic-hash,$14.00/g
2022-04-14,Pink Goo Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Chernobyl Cookies by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-04-14,Gorilla Glue Hash By Tegridy Farms,premium-domestic-hash,$16.00/g
2022-04-14,Kings Crown,premium-domestic-hash,$19.00/g
